freeCodeCamp,JavaScript,306083,23094,bsd-3-clause,378,2014-12-24T17:49:19Z,121326,The https://www.freeCodeCamp.org open source codebase and curriculum. Learn to code for free together with millions of people.,https://github.com/freeCodeCamp/freeCodeCamp,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/languages
996.ICU,Rust,247704,21190,other,16734,2019-03-26T07:31:14Z,183401,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,https://api.github.com/repos/996icu/996.ICU/languages
vue,JavaScript,151841,22593,mit,397,2013-07-29T03:24:51Z,27799,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",https://github.com/vuejs/vue,https://api.github.com/repos/vuejs/vue/languages
react,JavaScript,139148,26401,mit,915,2013-05-24T16:15:54Z,148623,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",https://github.com/facebook/react,https://api.github.com/repos/facebook/react/languages
tensorflow,C++,137075,78390,apache-2.0,3030,2015-11-07T01:19:20Z,438671,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow/languages
bootstrap,JavaScript,136738,67312,mit,390,2011-07-29T21:19:00Z,147707,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,https://api.github.com/repos/twbs/bootstrap/languages
free-programming-books,null,130929,32681,other,40,2013-10-11T06:50:37Z,5210,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,https://api.github.com/repos/EbookFoundation/free-programming-books/languages
awesome,null,119052,15841,,33,2014-07-11T13:42:37Z,793,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,https://api.github.com/repos/sindresorhus/awesome/languages
You-Dont-Know-JS,null,111136,22226,other,142,2013-11-16T02:37:24Z,7742,A book series on JavaScript. @YDKJS on twitter.,https://github.com/getify/You-Dont-Know-JS,https://api.github.com/repos/getify/You-Dont-Know-JS/languages
